Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6a18e19565d7799d5c7d3428,5f11eb333c6e2c0df5b92270,APPROVED,Not Applicable,2026-05-29T00:45:12.580000Z,2026-05-29T00:48:07.993000Z,2026-05-29T19:48:33.564000Z,2026-05-29T00:48:08.315822Z,176.0,C1M8S19P,3344,English,English,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6a18e198d364c2672b9a6b2c,6a12026ff8780f45e5c105c1,APPROVED,Not Applicable,2026-05-29T00:45:18.374000Z,2026-05-29T00:49:44.092000Z,2026-05-29T19:47:41.130000Z,2026-05-29T00:50:38.769624Z,266.0,C1M8S19P,51,English,English,67,Female,White,United States,United States,United States,English,No,Other
6a18e199143832d14dd0bda3,69dce9d5d84099b58bd035b3,APPROVED,Not Applicable,2026-05-29T00:45:19.652000Z,2026-05-29T00:49:50.729000Z,2026-05-29T19:47:41.866000Z,2026-05-29T00:49:51.069059Z,272.0,C1M8S19P,126,English,English,41,Female,White,Canada,Canada,Canada,English,No,Full-Time
6a18e1992986d51a9f8d9f7e,663230c49c03d1591ce2b92b,APPROVED,Not Applicable,2026-05-29T00:45:16.515000Z,2026-05-29T00:48:50.307000Z,2026-05-29T19:48:00.700000Z,2026-05-29T00:48:50.633425Z,214.0,C1M8S19P,3810,English,English,42,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6a18e19b90345838318ea1eb,69fd502ade7763b4307a98af,APPROVED,Not Applicable,2026-05-29T00:45:21.517000Z,2026-05-29T00:49:30.003000Z,2026-05-29T19:47:43.227000Z,2026-05-29T00:49:30.366608Z,249.0,C1M8S19P,20,English,English,44,Female,Black,United States,United States,United States,English,No,Full-Time
6a18e19c67bd1de59a17b5f3,69fe3fd664e08443bb68c739,APPROVED,Not Applicable,2026-05-29T00:45:21.708000Z,2026-05-29T00:50:25.549000Z,2026-05-29T19:47:44.401000Z,2026-05-29T00:50:25.927083Z,304.0,C1M8S19P,4,English,English,29,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6a18e19f8f6f25b5f38cb43b,6444b1e677ebe8b4e2c23abd,APPROVED,Not Applicable,2026-05-29T00:47:01.599000Z,2026-05-29T00:49:11.349000Z,2026-05-29T19:48:47.126000Z,2026-05-29T00:49:11.690251Z,130.0,C1M8S19P,10322,English,English,55,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6a18e1a09707ac6c887d4bba,6986410c79b93ba918a50bde,APPROVED,Not Applicable,2026-05-29T00:45:24.728000Z,2026-05-29T00:51:28.142000Z,2026-05-29T19:48:35.005000Z,2026-05-29T00:51:28.506960Z,364.0,C1M8S19P,1880,English,English,65,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6a18e1a1108b8c339eca7f66,6a09bb85a9ed1b53c9d4475c,APPROVED,Not Applicable,2026-05-29T00:46:23.178000Z,2026-05-29T00:52:34.890000Z,2026-05-29T19:48:41.282000Z,2026-05-29T00:52:35.234953Z,372.0,C1M8S19P,35,English,English,19,Female,White,Canada,Canada,Canada,English,Yes,Unemployed (and job seeking)
6a18e1a1b8ce01d999d88f10,66592dfcb3c1b6f73d81495c,APPROVED,Not Applicable,2026-05-29T00:46:13.139000Z,2026-05-29T00:52:46.882000Z,2026-05-29T19:48:26.166000Z,2026-05-29T00:52:47.235781Z,394.0,C1M8S19P,6326,English,English,53,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6a18e1a2108b8c339eca7f68,63d7cc4af906d9f7158dfc7c,APPROVED,Not Applicable,2026-05-29T00:45:25.590000Z,2026-05-29T00:47:53.538000Z,2026-05-29T19:48:24.344000Z,2026-05-29T00:47:53.873435Z,148.0,C1M8S19P,7563,English,English,32,Male,White,United States,United States,United States,English,No,Full-Time
6a18e1a3c1828ad397f8ed93,69fae3d326bd82ffd19d2578,APPROVED,Not Applicable,2026-05-29T00:45:35.834000Z,2026-05-29T00:48:34.327000Z,2026-05-29T19:48:02.747000Z,2026-05-29T00:48:34.653348Z,179.0,C1M8S19P,206,English,English,33,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6a18e1a4a018ca81258e4dcb,6a0523086d51c818a16cb7a4,APPROVED,Not Applicable,2026-05-29T00:45:24.604000Z,2026-05-29T00:47:26.697000Z,2026-05-29T19:47:43.664000Z,2026-05-29T00:47:27.053814Z,123.0,C1M8S19P,235,English,English,29,Male,Prefer not to say,United States,United States,United States,English,No,Unemployed (and job seeking)
6a18e1a6cb21ece774b7d475,69fcef1a37fa87b5e6cf2426,APPROVED,Not Applicable,2026-05-29T00:45:31.614000Z,2026-05-29T00:48:58.311000Z,2026-05-29T19:47:44.924000Z,2026-05-29T00:48:58.639960Z,207.0,C1M8S19P,256,English,English,53,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
